Frank Sinatra,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0
Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE
Idina Menzel,spotify:artist:73Np75Wv2tju61Eo9Zw4IR
Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9
Nat King Cole,spotify:artist:7v4imS0moSyGdXyLgVTIV7
Louis Armstrong,spotify:artist:19eLuQmk9aCobbVDHc6eek
The Temptations,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG
Ella Fitzgerald,spotify:artist:5V0MlUE1Bft0mbLlND7FJz
Otis Redding,spotify:artist:60df5JBRRPcnSpsIMxxwQm
Sam Cooke,spotify:artist:6hnWRPzGGKiapVX1UCdEAC
Nina Simone,spotify:artist:7G1GBhoKtEPnP86X2PvEYO
Vince Guaraldi Trio,spotify:artist:4ytkhMSAnrDP8XzRNlw9FS
Tony Bennett,spotify:artist:2lolQgalUvZDfp5vvVtTYV
Aretha Franklin,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok
Bing Crosby,spotify:artist:6ZjFtWeHP9XN7FeKSUe80S
Billie Holiday,spotify:artist:1YzCsTRb22dQkh9lghPIrp
Neil Diamond,spotify:artist:7mEIug7XUlQHikrFxjTWes
Frankie Valli & The Four Seasons,spotify:artist:6mcrZQmgzFGRWf7C0SObou
The Supremes,spotify:artist:57bUPid8xztkieZfS7OlEV
Etta James,spotify:artist:0iOVhN3tnSvgDbcg25JoJb
Ray Charles,spotify:artist:1eYhYunlNJlDoQhtYBvPsi
Carpenters,spotify:artist:1eEfMU2AhEo7XnKgL7c304
Chet Baker,spotify:artist:3rxeQlsv0Sc2nyYaZ5W71T
Count Basie,spotify:artist:2jFZlvIea42ZvcCw4OeEdA
Diana Krall,spotify:artist:5z1VAFwT35EVvCp1XlZZuL
Duke Ellington,spotify:artist:4F7Q5NV6h5TSwCainz8S5A
Roy Orbison,spotify:artist:0JDkhL4rjiPNEp92jAgJnS
Ben E. King,spotify:artist:3plJVWt88EqjvtuB4ZDRV3
Chuck Berry,spotify:artist:293zczrfYafIItmnmM3coR
Andy Williams,spotify:artist:4sj6D0zlMOl25nprDJBiU9
Barbra Streisand,spotify:artist:7jmTilWYlKOuavFfmQAcu6
